Takim,Grup,FIFA_Sirasi,Son10_Galibiyet,Son10_Beraberlik,Son10_Yenilgi,Ortalama_Gol_At,Ortalama_Gol_Ye,Kadro_Yas,Piyasa_Değeri_Milyon,Basari_2010,Basari_2014,Basari_2018,Basari_2022,Ev_Sahibi
Meksika,A,15,6,2,2,1.9,1.0,27.5,200,4,4,4,5,1
Kanada,B,30,5,3,2,1.8,1.1,26.0,190,0,0,0,5,1
Brezilya,C,6,6,2,2,2.3,0.9,26.9,1020,3,3,3,4,0
ABD,D,16,5,3,2,1.8,1.1,26.2,310,4,4,0,4,1
Güney Afrika,A,60,5,3,2,1.8,1.0,26.6,45,5,0,0,0,0
Bosna Hersek,A,65,5,3,2,1.7,1.1,27.8,100,0,5,0,0,0
Fas,C,8,7,2,1,2.1,0.9,27.3,350,0,0,5,3,0
Paraguay,D,40,5,2,3,1.6,1.2,27.9,110,3,0,0,0,0
Güney Kore,A,25,6,3,1,2.0,0.9,27.1,170,4,5,5,4,0
Katar,B,55,5,2,3,1.7,1.1,26.8,50,0,0,0,5,0
Haiti,C,83,5,2,3,1.6,1.2,27.0,8,0,0,0,0,0
Avustralya,D,27,6,2,2,2.1,1.0,27.3,85,5,5,5,4,0
Çekya,E,41,6,2,2,2.0,1.0,26.8,150,0,0,0,0,0
Isviçre,F,19,5,3,2,1.9,1.0,27.7,280,5,4,4,4,0
Iskoçya,G,43,6,1,3,1.9,1.1,27.5,200,0,0,0,0,0
Türkiye,H,22,6,2,2,2.0,1.0,25.8,280,0,0,0,0,0
Almanya,E,10,6,2,2,2.2,1.0,26.7,850,3,1,5,5,0
Hollanda,F,7,6,3,1,2.0,0.8,27.6,780,2,3,0,4,0
Belçika,G,9,5,3,2,1.9,1.1,27.9,540,0,3,3,5,0
Ispanya,H,2,7,2,1,2.3,0.8,26.8,980,1,5,4,4,0
Curaçao,E,82,5,3,2,1.8,1.1,27.1,10,0,0,0,0,0
Japonya,F,18,7,2,1,2.3,0.8,27.2,250,4,5,4,4,0
Misir,G,29,6,3,1,2.1,0.9,27.8,180,0,0,0,5,0
Yeşil Burun,H,69,6,2,2,1.9,1.0,26.8,20,0,0,0,0,0
Fildisi_Sahili,I,34,7,1,2,2.3,0.9,27.6,280,5,5,0,0,0
Isveç,J,38,6,2,2,2.1,0.9,27.3,220,0,0,3,0,0
Iran,K,21,7,2,1,2.2,0.8,27.3,50,0,5,5,5,0
Suudi_Arabistan,L,61,5,3,2,1.6,1.0,27.0,55,5,0,5,2,0
Ekvador,I,23,5,3,2,1.7,1.0,26.9,140,0,5,0,5,0
Tunus,J,44,6,2,2,1.8,1.0,27.4,60,0,5,5,5,0
Yeni_Zelanda,K,92,5,3,2,1.7,1.1,26.5,30,5,0,0,0,0
Uruguay,L,17,5,4,1,1.7,0.9,28.4,450,3,4,3,5,0
Fransa,I,1,7,2,1,2.4,0.8,27.1,1100,5,3,1,2,0
Arjantin,J,3,8,1,1,2.6,0.9,28.2,680,3,2,4,1,0
Portekiz,K,5,7,1,2,2.4,1.0,27.4,920,4,5,4,4,0
Ingiltere,L,4,7,2,1,2.2,0.9,26.5,1150,4,5,3,4,0
Senegal,I,14,7,2,1,2.1,0.9,26.8,280,0,5,5,4,0
Cezayir,J,28,7,2,1,2.2,0.8,27.0,160,0,4,0,0,0
Kongo_DC,K,46,6,3,1,2.1,0.9,26.7,120,0,0,0,0,0
Hirvatistan,L,11,5,3,2,1.8,1.1,27.8,420,0,0,2,3,0
Irak,I,57,6,2,2,1.9,1.0,27.0,35,0,0,0,0,0
Avusturya,J,24,7,1,2,2.1,0.9,26.5,260,0,0,0,0,0
Özbekistan,K,50,6,3,1,2.0,0.8,26.5,40,0,0,0,0,0
Gana,L,74,5,2,3,1.7,1.1,26.2,110,3,5,0,0,0
Norveç,I,31,6,2,2,2.2,1.0,26.3,380,0,0,0,0,0
Ürdün,J,63,6,2,2,2.0,0.9,26.4,25,0,0,0,0,0
Kolombiya,K,13,6,3,1,2.0,0.9,28.0,310,0,3,4,0,0
Panama,L,33,6,2,2,1.9,1.0,28.1,25,0,0,5,0,0
